ID,Legante standard,Famiglia,Legante originale,Metallo,Sale metallico,Campione,Solvente,Co-linker/Additivo,Temperatura,Tempo ore,Vial/Beuta ml,Data raw,Data ISO,MM legante,MM sale,mmol legante,mmol sale,mg legante,mg sale,Rapporto L/M,Procedura sintetica,Stato XRD,Esito/Osservazioni,IR file,XRD file,TGA file,BET,Riferimento cartella,Tag,Duplicati potenziali,Note,Sorgente_Database,mmol metallo,mg metallo,Quantita additivo,Volume solvente,Procedimento / note,IR,XRD,TGA,Caratterizzazioni presenti,Foglio origine,Riga origine,Inserito il,Note future,Esito_ML
211,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,"3,5-diamino-4,4’-bipyrazole",Co,Co(NO3)2*6H2O,DAPY2.cristalli,DMF/H2O,,160,120,15,"17/04/25   17,15",2025-04-17,,,0.06091321086,,10.0,,,,N.D.,,,,,,,,2.0,,MOFs,0.03435953821,10,8 ml/2 ml,8 ml/2 ml,"sintesi riproducibile, XRD e TGA sono identiche al DAPY2. Ho pesato il legante e posto in una vial da 15 ml resistente alla pressione ed aggiunto 4 ml di DMF e 2 ml di H2O milliQ, poi posto il tutto nel sonicatore. Nel mentre ho pesato il sale di matallo eposto in una vial con tappo in plastica da 8 ml ed aggiunti 4 ml di DMF e posta nel sonicatore. Dopo 30 minuti nel sonicatore ho versato il sale metallico nella vial contenente il legante, ho messo del teflon nel tappo per sigillarla e posto la vial in stufa a 160°C per 24 ore. Il precipitato lavato con 2 porzioni di DMF per rimuoverlo bene dalla vial, una volta nel filtro, lavato prima con 2 porzioni di H2O distillata e poi con 2 porzioni di acetone. Asciugato il filtro all'aria e poi 15 minuti in stufa a 85°C. Una volta asciugato ho travasato il precipitato su una vial da 20 ml per effettuare il cambio solvente con diclorometano, effettuando il cambio per 3 volte nell'arco di 24h. XRD Molto buono, meglio del DAPY2, provo a mantenere la stessa diluizione, ma con quantitativi maggiori di sostanza.",,,,,"3,5-diamino-4,4’-bipyrazole",88.0,,,1.0
212,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,"3,5-diamino-4,4’-bipyrazole",Co,Co(NO3)2*6H2O,DAPY2.R,DMF/ButOH/CH3CN,,160,48,15,22/04/25   18.00,2025-04-22,,,0.06091321086,,10.0,,,,N.D.,,,,,,,,1.0,,MOFs,0.03435953821,10,3 ml/1 m/1 ml,3 ml/1 m/1 ml,non buono XRD,,,,,"3,5-diamino-4,4’-bipyrazole",94.0,,,1.0
213,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,"3,5-diamino-4,4’-bipyrazole",Co,Co(NO3)2*6H2O,DAPY2.tris,DMF/H2O,,160,100,35,"24/04/2025   11,00",2025-04-24,,,0.1827,,29.9934936,,,,N.D.,,,,,,,,1.0,,MOFs,0.1029,29.948016,24 ml/6 ml,24 ml/6 ml,"XRD buono come gli altri, quindi è riproducibile anche a questi rapporti. Ho pesato il legante e posto in una vial da 35 ml resistente alla pressione ed aggiunto 20 ml di DMF e 6 ml di H2O milliQ, poi posto il tutto nel sonicatore. Nel mentre ho pesato il sale di matallo eposto in una vial con tappo in plastica da 8 ml ed aggiunti 4 ml di DMF e posta nel sonicatore. Dopo 30 minuti nel sonicatore ho versato il sale metallico nella vial contenente il legante, ho messo del teflon nel tappo per sigillarla e posto la vial in stufa a 160°C per 24 ore. Il precipitato lavato con 2 porzioni di DMF per rimuoverlo bene dalla vial, una volta nel filtro, lavato prima con 2 porzioni di H2O distillata e poi con 2 porzioni di acetone. Asciugato il filtro all'aria e poi 15 minuti in stufa a 85°C. Una volta asciugato ho travasato il precipitato su una vial da 20 ml per effettuare il cambio solvente con diclorometano, effettuando il cambio per 3 volte nell'arco di 24h.",,,,,"3,5-diamino-4,4’-bipyrazole",100.0,,,1.0
214,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,"3,5-diamino-4,4’-bipyrazole",Co,Co(NO3)2*6H2O,DAPY21,DMF/H2O,,160,24,100,"31/07/2025  13,00",2025-07-31,,,1.2,,197.0016,,,,N.D.,,,,,,,,8.0,,MOFs,1.2,349.248,50 ml/ 12 ml,50 ml/ 12 ml,"Ho pesato il legante e posto in una vial da 100 ml resistente alla pressione ed aggiunto 30 ml di DMF e 12 ml di H2O milliQ, poi posto il tutto nel sonicatore. Nel mentre ho pesato il sale di matallo eposto in una vial con tappo in plastica da 40 ml ed aggiunti 20 ml di DMF e posta nel sonicatore. Dopo 30 minuti nel sonicatore ho versato il sale metallico nella vial contenente il legante, ho messo del teflon nel tappo per sigillarla e posto la vial in stufa a 160°C per 24 ore. Il precipitato lavato con 2 porzioni di DMF per rimuoverlo bene dalla vial, una volta nel filtro, lavato prima con 2 porzioni di H2O distillata e poi con 2 porzioni di acetone. Asciugato il filtro all'aria e poi 15 minuti in stufa a 85°C.",,,,,"3,5-diamino-4,4’-bipyrazole",171.0,,,1.0
215,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,"3,5-diamino-4,4’-bipyrazole",Co,Co(NO3)2*6H2O,DAPY29,DMF/H2O,,160,24,100,"06/10/2025  10,00",2025-10-06,,,1.2,,197.0016,,,,N.D.,,,,,,,,8.0,,MOFs,0.6,174.624,50 ml/ 12 ml,50 ml/ 12 ml,"Ho pesato il legante e posto in una vial da 100 ml resistente alla pressione ed aggiunto 30 ml di DMF e 12 ml di H2O milliQ, poi posto il tutto nel sonicatore. Nel mentre ho pesato il sale di matallo eposto in una vial con tappo in plastica da 40 ml ed aggiunti 20 ml di DMF e posta nel sonicatore. Dopo 30 minuti nel sonicatore ho versato il sale metallico nella vial contenente il legante, ho messo del teflon nel tappo per sigillarla e posto la vial in stufa a 160°C per 24 ore. Il precipitato lavato con 2 porzioni di DMF per rimuoverlo bene dalla vial, una volta nel filtro, lavato prima con 2 porzioni di H2O distillata e poi con 2 porzioni di acetone. Asciugato il filtro all'aria e poi 15 minuti in stufa a 85°C.",,,,,"3,5-diamino-4,4’-bipyrazole",228.0,,,1.0
216,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,"3,5-diamino-4,4’-bipyrazole",Co,Co(NO3)2*6H2O,DAPY3,DMF,,160,,15,"13/03/25  11,30",2025-03-13,,,0.2,,32.833,,,,N.D.,,,,,,,,0.0,,MOFs,0.4,116.416,10 ml,10 ml,,,,,,"3,5-diamino-4,4’-bipyrazole",22.0,,,1.0
217,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,BPz(NH2)2,Co,Co(OAc)2*4H2O,Me8,,,T.A.,60 min,10,45299,2024-01-08,,,,,,,,,N.D.,,,,,,,,0.0,,MOFs,,,,,"Ho pesato il legante ed il sale metallico e li ho messi all'interno dell'apposito cilindro per il vibromulino, ho aggiunto MetOh ed NH3. Ho aggiunto 12 sfere di acciaio inox e posto per 60 minuti a 30 oscillazioni al secondo.",,,,,Meccanochimica,62.0,,,1.0
218,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,BPz(NH2)2,Cu,Cu(OAc)2*H2O,BPz1,DMF,,120,24,15,"4/11/2024 16,35",2024-11-04,,,0.2,,32.833,,,,N.D.,,,,,,,,1.0,,MOFs,0.2,36.328,8 ml,8 ml,"Ho pesato il quantitativo esatto delle sostanza,ho disciolto il ligando con 4ml di DMF in una piccola Vials nel sonicatore. Per quanto riguarda il composto metallico l'ho disciolto sempre in 4 ml di DMF nella Vials termoresistente per la stufa, sempre nel sonicatore per 5 minuti. Una volta disiolto il ligando ho travasato il tutto all'interno della vials contenente il metallo. Ho posto tutto il stufa con tappo ben sigillato con teflon a 120°c per 24 ore.",,,,,"3,3’-diamino-4,4’-bipyrazole",4.0,,,1.0
219,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,BPz(NH2)2,Cu,Cu(OAc)2*H2O,BPz10,ButOH,,130,48,15,"11/11/2024 16,30",2024-11-11,,,0.2,,32.833,,,,N.D.,,,,,,,,1.0,,MOFs,0.2,36.328,8 ml,8 ml,"Ho pesato il quantitativo esatto delle sostanza,ho disciolto il ligando con 4ml di ButOH in una piccola Vials nel sonicatore. Per quanto riguarda il composto metallico l'ho disciolto sempre in 4 ml di ButOH nella Vials termoresistente per la stufa, sempre nel sonicatore per 5 minuti. Una volta disiolto il ligando ho travasato il tutto all'interno della vials contenente il metallo. Ho posto tutto il stufa con tappo ben sigillato con teflon a 130°c per 48 ore.",,,,,"3,3’-diamino-4,4’-bipyrazole",66.0,,,1.0
220,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,BPz(NH2)2,Cu,Cu(OAc)2*H2O,BPz13,ButOH,,110,72,15,"15/11/2024  14,45",2024-11-15,,,0.2,,32.833,,,,N.D.,,,,,,,,1.0,,MOFs,0.2,36.328,8 ml,8 ml,"Ho pesato il quantitativo esatto delle sostanza,ho disciolto il ligando con 4ml di ButOH in una piccola Vial nel sonicatore. Per quanto riguarda il composto metallico l'ho disciolto sempre in 4 ml di ButOH nella Vial termoresistente per la stufa, sempre nel sonicatore per 5 minuti. Una volta disiolto il ligando ho travasato il tutto all'interno della vials contenente il metallo. Ho posto tutto il stufa con tappo ben sigillato con teflon a 110°c per 72 ore.",,,,,"3,3’-diamino-4,4’-bipyrazole",87.0,,,1.0
221,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,BPz(NH2)2,Cu,Cu(OAc)2*H2O,BPz16,DMF,,120,3,50,"14/11/2024  12,45",2024-11-14,,,0.5,,32.833,,,,N.D.,,,,,,,,1.0,,MOFs,0.5,36.328,"7,5 ml","7,5 ml","In una beuta da 50 mL dotata di un condensatore a riflusso, 3,3′-H 2 L  è stato sciolto in DMF . Dopo 10 min di agitazione, a questa soluzione è stato aggiunto acetato di rame diidrato. La miscela di reazione è stata mantenuta sotto agitazione a 120°C per 3 h e successivamente raffreddata lentamente a temperatura ambiente.",,,,,"3,3’-diamino-4,4’-bipyrazole",108.0,,,1.0
222,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,BPz(NH2)2,Cu,Cu(OAc)2*H2O,BPz19,DMF,,T.a.,24,20,"18/11/2024   16,00",2024-11-18,,,0.2,,32.833,,,,N.D.,,,,,,,,1.0,,MOFs,0.2,36.328,8 ml,8 ml,"Ho pesato il ligando e posto su una vial con tappo di plastica da 20ml, ho aggiunto 4 ml di DMF e posto il tutto nel sonicatore a caldo per 10 minuti; nel mentre ho pesato il sale metallico ed anchesso posto in una vial da 20 ml ed aggiunto 4 ml di DMF e posto nel sonicatore a caldo per 10 minuti. Trascorsi i 10 minuti ho travasato il contenuto della vial contenente il ligando in quella contenente il metallo, ho posto il tutto in agitazione magnetica a temperatura ambiente per 24h.",,,,,"3,3’-diamino-4,4’-bipyrazole",129.0,,,1.0
223,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,BPz(NH2)2,Cu,Cu(OAc)2*H2O,BPz22,EtOH,,70,72,15,"29/11/2024  15,30",2024-11-29,,,0.2,,32.833,,,,N.D.,,,,,,,,1.0,,MOFs,0.2,36.328,10 ml,10 ml,"Ho pesato il ligando e posto su una vial con tappo di plastica da 20ml, ho aggiunto 5 ml di EtOH e posto il tutto nel sonicatore a caldo per 10 minuti; nel mentre ho pesato il sale metallico ed anchesso posto in una vial da 20 ml ed aggiunto 5 ml di EtOH e posto nel sonicatore a caldo per 10 minuti. Trascorsi i 10 minuti ho travasato il contenuto della vial contenente il ligando in quella contenente il metallo, ho posto il tutto in stufa a 70°C sempre dentro la vial con tappo di plastica.",,,,,"3,3’-diamino-4,4’-bipyrazole",150.0,,,1.0
224,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,BPz(NH2)2,Cu,Cu(OAc)2*H2O,BPz29,DMF,,80,3,50,"5/12/2024  10,45",2024-12-05,,,0.5,,32.833,,,,N.D.,,,,,,,,1.0,,MOFs,0.5,36.328,"7,5 ml","7,5 ml","Ho pesato il legante e messo all'interno di un pallone da 50 ml ed aggiunto 7,5 ml di DMF, poi lasciato a reflusso a 80°C per 10 minuti, trascorsi ho aggiunto il sale metallico e lasciato a reflusso per 3 ore a 80°C.",,,,,"3,3’-diamino-4,4’-bipyrazole",199.0,,,1.0
225,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,BPz(NH2)2,Cu,Cu(OAc)2*H2O,BPz34,NH3 30%,,110,24,15,"16/12/2024  11,30",2024-12-16,,,0.2,,32.833,,,,N.D.,,,,,,,,1.0,,MOFs,0.5,36.328,8 ml,2 ml,"Ho pesato il legante e posto in una vial per la reazione solvotermica, solubilizzato con 5,5 ml di DMF e posto nel sonicatore per 30 minuti. Nel mentre ho pesato il sale metallico, aggiunti 2,5 ml di DMF in una vial con tappo di plastica e poi aggiunto 2 ml di NH3, messo nel sonicatore per 5 minuti. Una volta solubilizzato il legante, ho travasato il sale metallico all'interno della vial resistente alla temperature. Ho posto il tutto in stufa a 110°C.",,,,,"3,3’-diamino-4,4’-bipyrazole",234.0,,,1.0
226,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,BPz(NH2)2,Cu,Cu(NO3)2*3H2O,BPz35,,,110,24,15,"09/01/2025  14,30",2025-01-09,,,0.2,,32.833,,,,N.D.,,,,,,,,0.0,,MOFs,0.2,48.32,10 ml,10 ml,"precipitato, ma spettro IR non chiaro e definibile",,,,,"3,3’-diamino-4,4’-bipyrazole",241.0,,,1.0
227,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,BPz(NH2)2,Cu,Cu(OAc)2*H2O,BPz4,DMF,,110,48,15,"6/11/2024 16,30",2024-11-06,,,0.2,,32.833,,,,N.D.,,,,,,,,1.0,,MOFs,0.2,36.328,8 ml,8 ml,"Ho pesato il quantitativo esatto delle sostanza,ho disciolto il ligando con 4ml di DMF in una piccola Vials nel sonicatore. Per quanto riguarda il composto metallico l'ho disciolto sempre in 4 ml di DMF nella Vials termoresistente per la stufa, sempre nel sonicatore per 5 minuti. Una volta disiolto il ligando ho travasato il tutto all'interno della vials contenente il metallo. Ho posto tutto il stufa con tappo ben sigillato con teflon a 110°c per 48 ore.",,,,,"3,3’-diamino-4,4’-bipyrazole",24.0,,,1.0
228,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,BPz(NH2)2,Cu,Cu(OAc)2*H2O,BPz7,DMF/H2O,,120,24,15,"11/11/2024 16,00",2024-11-11,,,0.2,,32.833,,,,N.D.,,,,,,,,1.0,,MOFs,0.2,36.328,"6,7/1,3 ml","6,7/1,3 ml","Ho pesato il quantitativo esatto delle sostanza,ho disciolto il ligando con 4ml di DMF/H2O in una piccola Vials nel sonicatore. Per quanto riguarda il composto metallico l'ho disciolto sempre in 4 ml di DMF/H2O nella Vials termoresistente per la stufa, sempre nel sonicatore per 5 minuti. Una volta disiolto il ligando ho travasato il tutto all'interno della vials contenente il metallo. Ho posto tutto il stufa con tappo ben sigillato con teflon a 120°c per 24 ore.",,,,,"3,3’-diamino-4,4’-bipyrazole",45.0,,,1.0
229,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,"3,5-diamino-4,4’-bipyrazole",Cu,Cu(NO3)2*3H2O,DAPY22,DMF/H2O,,160,24,35,"08/09/2025  17,15",2025-09-08,,,0.1218,,19.9956624,,,,N.D.,,,,,,,,2.0,,MOFs,0.0687,16.59792,16  ml/4 ml,16  ml/4 ml,"Pesato il sale metallico e messo in una vial con 8 ml di DMF, mentre il legante è stato posto su una vial per la reazione solvotermica ed aggiunti 8 ml di DMF e 4 ml di H2O; posto entrambi nel sonicatore per 5 minuti, fino a completa dissoluzoine. Poi ho travasato il sale metallico nella vial con il legante, sigillato il tutto e posto in stufa a 160°C per 24 h.",,,,,"3,5-diamino-4,4’-bipyrazole",178.0,,,1.0
230,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,"3,5-diamino-4,4’-bipyrazole",Cu,Cu(OAc)2 *H2O,DAPY23,DMF/H2O,,160,24,35,"08/09/2025  17,15",2025-09-08,,,0.1218,,19.9956624,,,,N.D.,,,,,,,,1.0,,MOFs,0.0687,13.714581,16  ml/4 ml,16  ml/4 ml,"Pesato il sale metallico e messo in una vial con 8 ml di DMF, mentre il legante è stato posto su una vial per la reazione solvotermica ed aggiunti 8 ml di DMF e 4 ml di H2O; posto entrambi nel sonicatore per 5 minuti, fino a completa dissoluzoine. Poi ho travasato il sale metallico nella vial con il legante, sigillato il tutto e posto in stufa a 160°C per 24 h.",,,,,"3,5-diamino-4,4’-bipyrazole",185.0,,,1.0
231,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,"3,5-diamino-4,4’-bipyrazole",Cu,Cu(NO3)2*3H2O,DAPY24,DMF/H2O,,160,24,35,"09/09/2025  16,30",2025-09-09,,,0.24,,39.40032,,,,N.D.,,,,,,,,2.0,,MOFs,0.13,31.408,16  ml/4 ml,16  ml/4 ml,"Pesato il sale metallico e messo in una vial con 8 ml di DMF, mentre il legante è stato posto su una vial per la reazione solvotermica ed aggiunti 8 ml di DMF e 4 ml di H2O; posto entrambi nel sonicatore per 5 minuti, fino a completa dissoluzoine. Poi ho travasato il sale metallico nella vial con il legante, sigillato il tutto e posto in stufa a 160°C per 24 h.",,,,,"3,5-diamino-4,4’-bipyrazole",192.0,,,1.0
232,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,"3,5-diamino-4,4’-bipyrazole",Cu,Cu(OAc)2*H2O,DAPY27,DMF/H2O,,100,72,35,"12/09/2025  14,00",2025-09-12,,,0.24,,39.40032,,,,N.D.,,,,,,,,1.0,,MOFs,0.24,43.68,14  ml/6 ml,14  ml/6 ml,"Pesato il sale metallico e messo in una vial con 8 ml di DMF, mentre il legante è stato posto su una vial per la reazione solvotermica ed aggiunti 8 ml di DMF e 4 ml di H2O; posto entrambi nel sonicatore per 5 minuti, fino a completa dissoluzoine. Poi ho travasato il sale metallico nella vial con il legante, sigillato il tutto e posto in stufa a 160°C per 24 h.",,,,,"3,5-diamino-4,4’-bipyrazole",213.0,,,1.0
233,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,"3,5-diamino-4,4’-bipyrazole",Cu,Cu(NO3)2*3H2O,DAPY28,DMF/H2O,,100,72,35,"12/09/2025  14,00",2025-09-12,,,0.24,,39.40032,,,,N.D.,,,,,,,,1.0,,MOFs,0.24,57.984,14  ml/6 ml,14  ml/6 ml,"Pesato il sale metallico e messo in una vial con 8 ml di DMF, mentre il legante è stato posto su una vial per la reazione solvotermica ed aggiunti 8 ml di DMF e 4 ml di H2O; posto entrambi nel sonicatore per 5 minuti, fino a completa dissoluzoine. Poi ho travasato il sale metallico nella vial con il legante, sigillato il tutto e posto in stufa a 160°C per 24 h.",,,,,"3,5-diamino-4,4’-bipyrazole",220.0,,,1.0
234,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,"3,5-diamino-4,4’-bipyrazole",Fe,Fe(NO3)3*9H2O,DAPY30,DMF,,120,24,15,45986.479166666664,2025-11-25,,,0.2,,32.8336,,,,N.D.,,,,,,,,1.0,,MOFs,0.1,40.4,10 ml,10 ml,"amorfo, nulla di buono",,,,,"3,5-diamino-4,4’-bipyrazole",240.0,,,1.0
235,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,"3,5-diamino-4,4’-bipyrazole",Fe,FeCl3,DAPY31,DMF,,120,24,15,45986.479166666664,2025-11-25,,,0.2,,32.8336,,,,N.D.,,,,,,,,1.0,,MOFs,0.1,16.22,10 ml,10 ml,"amorfo, nulla di buono",,,,,"3,5-diamino-4,4’-bipyrazole",247.0,,,1.0
236,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,BPz(NH2)2,Mn,MnCl2 · 4H2O,BPz36,,,100,24,15,"14/01/2025     11,00",2025-01-14,,,0.2,,32.833,,,,N.D.,,,,,,,,0.0,,MOFs,0.2,39.582,5ml/5ml,5ml/5ml,"Ho pesato il legante e posto all'interno della vial per la reazione solvotermale da 15 ml, aggiunto DMF/EtOH e messo nel sonicatore; nel frattempo ho pesato anche il metallo e solubilizzato sempre con 5 ml di DMF/EtOH. Una volta solubilizzato il metallo l'ho travasato nella vial contenente il legante. Ho messo il tutto in stufa a 100°C per 24h.",,,,,"3,3’-diamino-4,4’-bipyrazole",248.0,,,1.0
237,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,BPz(NH2)2,Ni,Ni(OAc)2*4H2O,BPz11,ButOH,,130,48,15,"11/11/2024 16,30",2024-11-11,,,0.2,,32.833,,,,N.D.,,,,,,,,1.0,,MOFs,0.2,49.772,8 ml,8 ml,"Ho pesato il quantitativo esatto delle sostanza,ho disciolto il ligando con 4ml di ButOH in una piccola Vials nel sonicatore. Per quanto riguarda il composto metallico l'ho disciolto sempre in 4 ml di ButOH nella Vials termoresistente per la stufa, sempre nel sonicatore per 5 minuti. Una volta disiolto il ligando ho travasato il tutto all'interno della vials contenente il metallo. Ho posto tutto il stufa con tappo ben sigillato con teflon a 130°c per 48 ore.",,,,,"3,3’-diamino-4,4’-bipyrazole",73.0,,,1.0
238,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,BPz(NH2)2,Ni,Ni(OAc)2*4H2O,BPz14,ButOH,,110,72,15,"15/11/2024  14,45",2024-11-15,,,0.2,,32.833,,,,N.D.,,,,,,,,1.0,,MOFs,0.2,49.772,8 ml,8 ml,"Ho pesato il quantitativo esatto delle sostanza,ho disciolto il ligando con 4ml di ButOH in una piccola Vial nel sonicatore. Per quanto riguarda il composto metallico l'ho disciolto sempre in 4 ml di ButOH nella Vial termoresistente per la stufa, sempre nel sonicatore per 5 minuti. Una volta disiolto il ligando ho travasato il tutto all'interno della vials contenente il metallo. Ho posto tutto il stufa con tappo ben sigillato con teflon a 110°c per 72 ore.",,,,,"3,3’-diamino-4,4’-bipyrazole",94.0,,,1.0
239,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,BPz(NH2)2,Ni,Ni(OAc)2*4H2O,BPz17,DMF,,120,3,50,"15/11/2024  11,00",2024-11-15,,,0.5,,32.833,,,,N.D.,,,,,,,,1.0,,MOFs,0.5,49.772,"7,5 ml","7,5 ml","In una beuta da 50 mL dotata di un condensatore a riflusso,  3,3’-diamino-4,4’-bipyrazole  è stato sciolto in DMF . Dopo 10 min di agitazione, a questa soluzione è stato aggiunto acetato di nichel . La miscela di reazione è stata mantenuta sotto agitazione a 120°C per 3 h e successivamente raffreddata lentamente a temperatura ambiente.",,,,,"3,3’-diamino-4,4’-bipyrazole",115.0,,,1.0
240,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,BPz(NH2)2,Ni,Ni(OAc)2*4H2O,BPz2,DMF,,120,24,15,"4/11/2024 16,35",2024-11-04,,,0.2,,32.833,,,,N.D.,,,,,,,,1.0,,MOFs,0.2,49.772,8 ml,8 ml,"Ho pesato il quantitativo esatto delle sostanza,ho disciolto il ligando con 4ml di DMF in una piccola Vials nel sonicatore. Per quanto riguarda il composto metallico l'ho disciolto sempre in 4 ml di DMF nella Vials termoresistente per la stufa, sempre nel sonicatore per 5 minuti. Una volta disiolto il ligando ho travasato il tutto all'interno della vials contenente il metallo. Ho posto tutto in stufa con tappo ben sigillato con teflon a 120°c per 24 ore.",,,,,"3,3’-diamino-4,4’-bipyrazole",11.0,,,1.0
241,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,BPz(NH2)2,Ni,Ni(OAc)2*4H2O,BPz20,DMF,,T.a.,24,20,"18/11/2024   16,00",2024-11-18,,,0.2,,32.833,,,,N.D.,,,,,,,,1.0,,MOFs,0.2,49.772,8 ml,8 ml,"Ho pesato il ligando e posto su una vial con tappo di plastica da 20ml, ho aggiunto 4 ml di DMF e posto il tutto nel sonicatore a caldo per 10 minuti; nel mentre ho pesato il sale metallico ed anchesso posto in una vial da 20 ml ed aggiunto 4 ml di DMF e posto nel sonicatore a caldo per 10 minuti. Trascorsi i 10 minuti ho travasato il contenuto della vial contenente il ligando in quella contenente il metallo, ho posto il tutto in agitazione magnetica a temperatura ambiente per 24h.",,,,,"3,3’-diamino-4,4’-bipyrazole",136.0,,,1.0
242,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,BPz(NH2)2,Ni,Ni(OAc)2*4H2O,BPz23,EtOH,,70,72,15,"29/11/2024  15,30",2024-11-29,,,0.2,,32.833,,,,N.D.,,,,,,,,1.0,,MOFs,0.2,49.772,10 ml,10 ml,"Ho pesato il ligando e posto su una vial con tappo di plastica da 20ml, ho aggiunto 5 ml di EtOH e posto il tutto nel sonicatore a caldo per 10 minuti; nel mentre ho pesato il sale metallico ed anchesso posto in una vial da 20 ml ed aggiunto 5 ml di EtOH e posto nel sonicatore a caldo per 10 minuti. Trascorsi i 10 minuti ho travasato il contenuto della vial contenente il ligando in quella contenente il metallo, ho posto il tutto in stufa a 70°C sempre dentro la vial con tappo di plastica.",,,,,"3,3’-diamino-4,4’-bipyrazole",157.0,,,1.0
243,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,BPz(NH2)2,Ni,Ni(NO3)2*6H2O,BPz25,Mesitilene,,T.a.,24,20,"02/12/2024  10,30",2024-12-02,,,0.2,,32.833,,,,N.D.,,,,,,,,1.0,,MOFs,0.2,58.162,8 ml,2 ml,"Ho pesato il legante e solubilizzato con 5 ml di metanolo ed aggiunti 2 ml di mesitilene all'interno di una vial con tappo di plastica e posta nel sonicatore; nel mentre ho pesato il sale metallico e solubilizzato con 3 ml di metanolo e messo in una vial da 20 ml con tappo si plastica, poi solubilizzato nel sonicatore. Una volta solubilizzato il legante(10min) l'ho travasato nella vial contenente lo ione metallico, poi posto tutto sotto agitazione a temperatura ambiente su una piastra magnetica. Nessun precipitato.",,,,,"3,3’-diamino-4,4’-bipyrazole",171.0,,,1.0
244,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,BPz(NH2)2,Ni,Ni(NO3)2*6H2O,BPz30,DMF,,160,24,15,"9/12/2024  14,45",2024-12-09,,,0.2,,32.833,,,,N.D.,,,,,,,,1.0,,MOFs,0.2,58.162,10 ml,10 ml,"Ho pesato il legante, messo nella vial resistente alla pressione per la solvotermal ed aggiunti 7 ml di DMF, posta nel sonicatore per 30 minuti fino a completa solubilizazione; nel mentre ho pesato il metallo e messo nella vial con tappo di plastica e solubilizzato con 3 ml di DMF, messo nel sonicatore per 5 minuti. Una volta solubilizzato il legante ho travasato il metallo nella vial da mettere in stufa. Ho posto il tutto in stufa a 160°C.",,,,,"3,3’-diamino-4,4’-bipyrazole",206.0,,,1.0
245,"3,5-diamino-4,4'-bipyrazole",Bipyrazole,BPz(NH2)2,Ni,Ni(NO3)2*6H2O,BPz31,DMF,,120,24,15,"9/12/2024  14,45",2024-12-09,,,0.2,,32.833,,,,N.D.,,,,,,,,1.0,,MOFs,0.2,58.162,10 ml,10 ml,"Ho pesato il legante, messo nella vial resistente alla pressione per la solvotermal ed aggiunti 7 ml di DMF, posta nel sonicatore per 30 minuti fino a completa solubilizazione; nel mentre ho pesato il metallo e messo nella vial con tappo di plastica e solubilizzato con 3 ml di DMF, messo nel sonicatore per 5 minuti. Una volta solubilizzato il legante ho travasato il metallo nella vial da mettere in stufa. Ho posto il tutto in stufa a 120°C.",,,,,"3,3’-diamino-4,4’-bipyrazole",213.0,,,1.0
