ID,Legante standard,Famiglia,Legante originale,Metallo,Sale metallico,Campione,Solvente,Co-linker/Additivo,Temperatura,Tempo ore,Vial/Beuta ml,Data raw,Data ISO,MM legante,MM sale,mmol legante,mmol sale,mg legante,mg sale,Rapporto L/M,Procedura sintetica,Stato XRD,Esito/Osservazioni,IR file,XRD file,TGA file,BET,Riferimento cartella,Tag,Duplicati potenziali,Note,Sorgente_Database,mmol metallo,mg metallo,Quantita additivo,Volume solvente,Procedimento / note,IR,XRD,TGA,Caratterizzazioni presenti,Foglio origine,Riga origine,Inserito il,Note future,Esito_ML
25,curc(III),Curcumina,curc(III),Co,Co(NO3)2*6H2O,B.23,DMF,,80,72,10,"12/05/2026 17,30",2026-05-12,278.0,291.04,0.02,0.02,5.56,5.8208,1.0,nessun precipitato,Precipitato,,,,,,CurcumineMOFs,CurcumineMOF; MOF; Curcumina,,,CurcumineMOFs,,,,,,,,,,,,,,1.0
26,curc(III),Curcumina,curc(III),Zr,ZrCl4,B.24,DMF/MeOH,,120,48,10,"25/05/2026 16,30",2026-05-25,278.0,233.04,0.02,0.02,5.56,4.6608,1.0,nessun precipitato,Precipitato,"Campione | Linker | Ione metallico | Solvente | Temperatura °C | Procedimento | Tempo ore | Vials ml | Data inizio reazione | IR | XRD | TGA | BET B.25 | curcumine | ZrCl4 | 3,3'(NO2)2-4,4'BPz | DMF/MeOH | 120.0 | 24.0 | 15.0 | 25/05/2026 17,30 | picchi poco sharpe, non ben identificabili MM | 368.39 | 233.04 | 224.13 Millimoli | 0.02 | 0.02 | 0.02 | 8 ml/ 1ml Milligrammi | 7.3678 | 4.6608 | 4.4826",,,,,CurcumineMOFs,CurcumineMOF; MOF; Curcumina,,"Campione | Linker | Ione metallico | Solvente | Temperatura °C | Procedimento | Tempo ore | Vials ml | Data inizio reazione | IR | XRD | TGA | BET B.25 | curcumine | ZrCl4 | 3,3'(NO2)2-4,4'BPz | DMF/MeOH | 120.0 | 24.0 | 15.0 | 25/05/2026 17,30 | picchi poco sharpe, non ben identificabili MM | 368.39 | 233.04 | 224.13 Millimoli | 0.02 | 0.02 | 0.02 | 8 ml/ 1ml Milligrammi | 7.3678 | 4.6608 | 4.4826",CurcumineMOFs,,,,,,,,,,,,,,1.0
27,curc(III),Curcumina,curc(III),Co,Co(NO3)2*6H2O,B.26,DMF/H2O,,120,24,15,"25/05/2026 17,30",2026-05-25,278.0,291.04,0.05,0.05,13.9,14.552,1.0,,"non male, picchi più sharpe. Ma pochissimo intensi",,"molto buono, manca il picco della curcumina a 3000. Gli altri picchi sono shiftati","non male, picchi più sharpe. Ma pochissimo intensi",,,CurcumineMOFs,CurcumineMOF; MOF; Curcumina,,,CurcumineMOFs,,,,,,,,,,,,,,2.0
28,curc(III),Curcumina,curc(III),Co,Co(NO3)2*6H2O,B.27,DMF/H2O,,120,24,15,"04/06/2026 17,30",2026-06-04,278.0,291.04,0.1,0.1,27.8,29.104,1.0,,Da valutare,,,,,,CurcumineMOFs,CurcumineMOF; MOF; Curcumina,,,CurcumineMOFs,,,,,,,,,,,,,,1.0
1,"3-nitro-4,4'-bipyrazole",Bipyrazole,"3 nitro-4,4' bipirazolo",Cd,Cd(NO3)2*4H2O,"Cd11,7",DMF,,150,24,15,"08/06/2026   12,30",2026-06-08,,,0.1,,17.904,,,,Da valutare,,,,,,,,2.0,,MOFs,0.1,30.847,10 ml,10 ml,,molto buono,meno intenso del 11.2,,,Cd-MOF,265.0,,,1.0
2,"3-nitro-4,4'-bipyrazole",Bipyrazole,"3 nitro-4,4' bipirazolo",Cd,Cd(NO3)2*4H2O,"Cd11,8",DMF,,150,24,15,"08/06/2026   12,30",2026-06-08,,,0.1,,17.904,,,,Da valutare,,,,,,,,2.0,,MOFs,0.2,61.694,10 ml,10 ml,,molto buono,meno intenso del 11.2,,,Cd-MOF,271.0,,,1.0
3,"3-nitro-4,4'-bipyrazole",Bipyrazole,"3 nitro-4,4' bipirazolo",Ni,Ni(NO3)2,,CH3CN,Et3N,R.T.,48,20,,,,,0.1,,17.9,,,,Non riuscito,,,,,non fatta,,,1.0,,MOFs,0.1,29.08,"0,5 ml",10 ml,"a solution of Ni(CH3COO)2·4H2O (0.084 g, 0.47 mmol) in 10 mL of acetonitrile H2BPZ (0.089 g, 0.47 mmol) was added in one single portion with stirring. The mixture was stirred at 60 °C for 10 min, and then 1 mL of triethylamine was added. The reaction was kept under reflux for 8 h.",non molto buono,Pessimo,"Dalla TGA sembra essersi formato un MOF o complesso, perché rimaneva un residuo metallico",,NiMOFs,3.0,,,0.0
4,"3-nitro-4,4'-bipyrazole",Bipyrazole,"3 nitro-4,4' bipirazolo",Ni,Ni(OAc)2*4H2O,,CH3CN,,reflux,48,20,,,,,0.2,,35.808,,,,Non riuscito,,,,,,,,2.0,,MOFs,0.2,49.768,"0,5 ml",5 ml,"a solution of Ni(CH3COO)2·4H2O (0.084 g, 0.47 mmol) in 10 mL of acetonitrile H2BPZ (0.089 g, 0.47 mmol) was added in one single portion with stirring. The mixture was stirred at 60 °C for 10 min, and then 1 mL of triethylamine was added. The reaction was kept under reflux for 8 h.","Pessimo, buttato",non fatto per niente,,,NiMOFs,9.0,,,0.0
5,"3-nitro-4,4'-bipyrazole",Bipyrazole,"3 nitro-4,4' bipirazolo",Ni,Ni(OAc)2*4H2O,,CH3CN,Et3N,reflux,48,20,,,,,0.2,,35.808,,,,N.D.,,,,,,,,2.0,,MOFs,0.4,99.536,"0,5 ml",5 ml,"a solution of Ni(CH3COO)2·4H2O (0.084 g, 0.47 mmol) in 10 mL of acetonitrile H2BPZ (0.089 g, 0.47 mmol) was added in one single portion with stirring. The mixture was stirred at 60 °C for 10 min, and then 1 mL of triethylamine was added. The reaction was kept under reflux for 8 h.",,,,,NiMOFs,17.0,,,1.0
6,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Altro,"3-(3,5-DiMePz4-yl)pentane-2,4-dione",Zr,Zr(OCH3)4,Me10,Et3N,,T.A.,30 min,10,,,,,,,,,,,N.D.,,,,,,,,1.0,,MOFs,,,,,,,,,,Meccanochimica,76.0,,,1.0
